NORMA,ART,APT,OPC,PTOS,CALIF,INFRACCION,MULTA,RESPONS,COMENTARIO,MATERIA
CIR,"007
012","1
7",5C,0,Grave076.-O),"CIRCULARCONUNVEHÍCULOEMITIENDOGASESOHUMOSENVALORESSUPERIORESALOSLÍMITESESTABLECIDOSENLASNORMASREGULADORASDELOSVEHÍCULOS(LACOMISIÓNDELOSHECHOSDESCRITOSENESTOSSUPUESTOSSEDENUNCIARÁNPORESTEPRECEPTO,AUNQUEENDIRECTARELACIÓNCONLODISPUESTOENELART.11.19DELREGLAMENTOGENERAL
DEVEHÍCULOS)","200.0
100.0",TitularConductor,NOTA:Alperseguirestetipodeinfraccióndeberácontarseconelmediotécniconecesarioquepermitacomprobarelniveldegasesohumosdetectados,EMISIONES
CIR,"007
012","1
7",5D,0,Grave076.-O),"CIRCULARCONUNVEHÍCULOQUEHASIDOOBJETODEUNAREFORMADEIMPORTANCIANOAUTORIZADA(LACOMISIÓNDELOSHECHOSDESCRITOSENESTESUPUESTOSEDENUNCIARÁNPORESTEPRECEPTO,AUNQUEENDIRECTARELACIÓNCONLODISPUESTOENELARTÍCULO7DELREGLAMENTO
GENERALDEVEHÍCULOS)","200.0
100.0",TitularConductor,,REFORMASIMPORTANC.
CIR,"007
012","2
5",5B,0,Grave076.-O),"CIRCULARCONUNCICLOMOTORCONELESCAPELIBRE,SINLLEVARINSTALADOELPRECEPTIVODISPOSITIVOSILENCIADORDEEXPLOSIONESOCONUNSILENCIADORINEFICAZ(LACOMISIÓNDELOSHECHOSDESCRITOSENESTOSSUPUESTOSSEDENUNCIARÁNPORESTEPRECEPTO,AUNQUEENDIRECTARELACIÓNCONLODISPUESTOENELART.11.19DELREGLAMENTOGENERAL
DEVEHÍCULOS)","200.0
100.0",Conductor,,EMISIONES
CIR,"009
013","1
2",5E,0,Leve,"TRANSPORTARENELVEHÍCULORESEÑADOUNNÚMERODEPERSONASSUPERIORALDEPLAZASAUTORIZADAS,SINQUEELEXCESODEOCUPACIÓNSUPEREENUN50%DICHASPLAZAS.(ENTRANSPORTEESCOLARYDEMENORES,SEAPLICARÁLANORMATIVAESPECÍFICASOBRELAMATERIA(RD443/2001,DE27DEABRIL,SOBRECONDICIONESDESEGURIDADENELTRANSPORTE
                                                                                                               ESCOLAR Y DE MENORES))","100.0
50.0",Conductor,"NOTA:Ej:TURISMODE5
PLAZAS.Hasta6ocupantesmáx.OTROSTIPOSDEVEHÍCULODEHASTA9PLAZAS:hasta12
ocupantesmáx.Sielexcesoafectaalosmovimientosdelconductoroalaestabilidaddelvehículosetipificarácomoinfracciónalart.3.1delRGCir.(conducciónnegligente)",EMPLAZAMIENTOPERSONAS/CARGA
CIR,"010
013","2
2",5A,0,Leve,"VIAJARPERSONASENUNVEHÍCULODESTINADOALTRANSPORTEDEMERCANCÍASOCOSASENELLUGARRESERVADOALACARGA,INCUMPLIENDOLASCONDICIONESQUESEESTABLECENENLASDISPOSICIONESQUE
REGULANLAMATERIA","80.0
40.0",Conductor,"NOTA:Noobstante,enlosvehículosdetransportedemercancíasocosas,excepcionalmente,podránviajarpersonasenellugarreservadoalacargaenlascondicionesqueseestablecenenlasdisposicionesqueregulanlamateria",EMPLAZAMIENTOPERSONAS/CARGA
CIR,"010
013","3
2",5B,0,,"LLEVARINSTALADAUNAPROTECCIÓNDELACARGAQUEPUEDEDAÑARALOSOCUPANTESENCASODESERPROYECTADA,ENUNVEHÍCULOAUTORIZADOPARATRANSPORTARSIMULTÁNEAMENTE
PERSONASYCARGA","200.0
SINREDUC.",TitularConductor,NOTA:LOSHECHOSDESCRITOSENESTOSSUPUESTOSSEDENUNCIARÁNPORELARTÍCULO12.4DELREGLAMENTOGENERALDEVEHÍCULOS,CARGAYDESCARGA
CIR,"011
013","1
1--",5B,0,Leve,"NOPARARLOMÁSCERCAPOSIBLEDELBORDEDERECHODELACALZADAELCONDUCTORDEUNTRANSPORTECOLECTIVODE
PERSONAS","80.0
40.0",Conductor,,TRANSPORTEPÚBLICODEVIAJEROS
CIR,"011
013","1
2",5C,0,Leve,"REALIZARELCONDUCTORDEUNTRANSPORTECOLECTIVODEPERSONAS,ACTOSQUELEPUEDANDISTRAER
DURANTELAMARCHA","80.0
40.0",Conductor,,TRANSPORTEPÚBLICODEVIAJEROS
CIR,"011
010","2
2",5B,0,Leve,"NOPROHIBIRLAENTRADAUORDENARLASALIDAELCONDUCTORDEUNVEHÍCULODESTINADOALSERVICIOPÚBLICODETRANSPORTECOLECTIVODEPERSONAS,ALOSVIAJEROSQUEVULNERENLASPROHIBICIONES
ESTABLECIDAS","80.0
40.0",Conductor,,TRANSPORTEPÚBLICODEVIAJEROS
CIR,"012
013","1
2",5A,0,Leve,CIRCULAR2PERSONASENUNCICLOENCONDICIONESDISTINTASALASREGLAMENTARIAS(ESPECIFICARELINCUMPLIMIENTO),"80.0
40.0",Conductor,"NOTA:Noobstante,sepodrátransportaraunapersonacuandosecumplanciertosrequisitos:queelconductorseamayordeedad,quelapersonatransportadaseaunmenordehasta7añosyqueutiliceunasientoadicionalquehabráde
serhomologado",EMPLAZAMIENTOPERSONAS/CARGA
CIR,"012
013","2
2",5A,0,Leve,CIRCULAR2PERSONASENELVEHÍCULORESEÑADOENCONDICIONESDISTINTASALASREGLAMENTARIAS(ESPECIFICARELINCUMPLIMIENTO),"80.0
40.0",Conductor,"NOTA:Noobstante,enlosciclomotoresymotocicletas,ademásdelconductory,ensucaso,delocupantedelsidecardeéstaúltimas,puedeviajar,siemprequeasíconsteensulicenciaopermisodecirculación,unpasajerocumpliendociertosrequisitos(Ver
GuíaComentada)",EMPLAZAMIENTOPERSONAS/CARGA
CIR,"012
013","2
5",5B,0,Grave076.-I),"CIRCULARCONMENORESDEDOCEAÑOSCOMOPASAJEROSDEMOTOCICLETASOCICLOMOTORESENCONDICIONESDISTINTASALASREGLAMENTARIAS.(DEBENTENERSEENCUENTALASEXCEPCIONESREGLAMENTARIASPARAMAYORESDE7AÑOS,CUANDOSEANCONDUCIDOSPORSUPADRE,MADREOTUTOROPORPERSONASMAYORESDEEDADPORELLOSAUTORIZADAS;SIEMPREYCUANDOSEHAGACUMPLIENDODETERMINADOSREQUISITOS
)","200.0
100.0",Conductor,NOTA:(VerGuíaComentada),EMPLAZAMIENTOPERSONAS/CARGA
CIR,"012
013","4
1--",5A,0,Leve,CIRCULARELVEHÍCULORESEÑADOARRASTRANDOUNREMOLQUEENCONDICIONESDISTINTASALASREGLAMENTARIAS(ESPECIFICARELINCUMPLIMIENTO),"80.0
40.0",Conductor,"NOTA:Lasmotocicletas,losvehículosdetresruedas,losciclomotoresylosciclosybicicletaspodránarrastrarunremolqueosemirremolquesiemprequenosuperenel50%delamasaenvacío(MMA)delvehículotractory
secumplanciertascondiciones.","REMOLQUE
deVEHÍCULOS"
CIR,"014
012","1-B
6",5D,0,"Muygrave077.-
B)","CIRCULARCONELVEHÍCULORESEÑADOCUYACARGAHACAÍDOALAVÍA,PORSUMALACONDICIONAMIENTO,CREANDOGRAVEPELIGROPARAELRESTODELOSUSUARIOS","500.0
250.0","TitularConductorAutor
Responsable","NOTA:Deberánespecificarselasconcretascircunstanciasenqueloshechossehanproducido,señalandoenlasmismassiaquellossedebieronaunmalacondicionamientoimputablealconductoroaltitulardelvehículoobjetodedenuncia(enfuncióndelaclase,tipoyservicioaqueelmismo
sededicabaenesemomento)",EMPLAZAMIENTOPERSONAS/CARGA
CIR,,,,,,,,,,
CIR,"014
012","1-D
6",5C,0,Leve,"CIRCULARCONELVEHÍCULORESEÑADOENELQUELAINDEBIDADISPOSICIÓNDELACARGAOCULTALOSDISPOSITIVOSDEALUMBRADOOSEÑALIZACIÓNLUMINOSA,PLACASODISTINTIVOSOBLIGATORIOSYLASADVERTENCIASMANUALESDELCONDUCTOR.(DEBENESPECIFICARSELASSEÑALESOPLACAS
OCULTADAS.)","80.0
40.0",TitularConductorAutorResponsable,,EMPLAZAMIENTOPERSONAS/CARGA
CIR,"015
012","6
6",5A,0,Leve,"NOSEÑALIZARREGLAMENTARIAMENTELACARGAQUESOBRESALELONGITUDINALMENTEDELVEHÍCULORESEÑADO(SILASEÑALSEENCUENTRAENELVEHÍCULOELRESPONSABLEESELCONDUCTOR.ENOTRO
CASO,ELTITULAR.)","80.0
40.0",TitularConductor,"NOTA:Entodocaso,lacargaquesobresalgapordetrásdelosvehículosdeberáserseñalizadapormediodelaseñalV-20aqueserefiereelartículo173delRGCirc.,ycuyascaracterísticasseestablecenenelAnexoXIdelRGVeh.",SEÑALIZACiÓN
CIR,"015
010","7
2",5A,0,Leve,"NOSEÑALIZARREGLAMENTARIAMENTELACARGAQUESOBRESALELATERALMENTEDELGÁLIBODELVEHÍCULORESEÑADO(INDICARSILASEÑALCORRESPONDIENTESE
                                                                                                             ENCUENTRA O NO ACTIVADA)                                                                                                                        ","80.0
40.0",TitularConductor,,SEÑALIZACiÓN
CIR,"016
010",-2,5B,0,Leve,"REALIZARENLAVÍAOPERACIONESDECARGAYDESCARGAOCASIONANDOPELIGROOPERTURBACIONESGRAVESALTRÁNSITODEOTROSUSUARIOS(DEBERÁINDICARSEELPELIGROOLA
PERTURBACIÓNCAUSADA)","80.0
40.0",Conductor,,CARGAYDESCARGA
CIR,"017
010","1
1",5A,0,Leve,"CONDUCIRSINADOPTARLASPRECAUCIONESNECESARIASPARALASEGURIDADDEOTROSUSUARIOSDELAVÍA(DEBERÁINDICARSEELHECHOQUEPROVOCÓLA
FALTADEPRECAUCIÓN)","80.0
40.0",Conductor,NOTA:Losconductoresdeberánestarentodomomentoencondicionesdecontrolarsusvehículosoanimales.,COMPORTAMIENTOINDEBIDO
CIR,"017
010","2
1",5B,0,Leve,"ABANDONARLACONDUCCIÓNDECABALLERÍAS,GANADOSOVEHÍCULOSDECARGADETRACCIÓNANIMAL,DEJÁNDOLOSMARCHARLIBREMENTEPORELCAMINOODETENERSEENEL(DEBERÁINDICARSEELANIMALOVEHÍCULODEQUE
                                                                                                                              SE TRATE)                                                                                                                                         ","80.0
40.0",Conductor,,COMPORTAMIENTOINDEBIDO
CIR,"018
013","1
2",5A,0,Leve,"CONDUCIRELVEHÍCULORESEÑADOSINMANTENERLAPROPIALIBERTADDEMOVIMIENTOS(DEBERÁN
CONCRETARSELOSHECHOS)","80.0
40.0",Conductor,,COMPORTAMIENTOINDEBIDO
CIR,"018
013","1
2",5B,0,Leve,CONDUCIRUNVEHÍCULOSINMANTENERELCAMPODEVISIÓN(DEBERÁNCONCRETARSELOSHECHOS),"80.0
40.0",Conductor,,COMPORTAMIENTOINDEBIDO
CIR,"018
013","1
2",5D,0,Leve,"CONDUCIRUNVEHÍCULOSIN
MANTENERLAPOSICIÓNADECUADAYQUELAMANTENGANELRESTODELOSPASAJEROS(DEBERÁNCONCRETARSELOSHECHOS)","80.0
40.0",Conductor,,COMPORTAMIENTOINDEBIDO
CIR,"018
013","1
2",5E,0,Leve,"CONDUCIRUNVEHÍCULOSINCUIDARDELAADECUADACOLOCACIÓNDELOSOBJETOSOALGÚNANIMALTRANSPORTADOPARAQUENOINTERFIERANLACONDUCCIÓN(DEBERÁN
CONCRETARSELOSHECHOS)","80.0
40.0",Conductor,NOTA:Losanimalesincontroladosdebensertransportadosenrecintosadecuadosoindependientesdelusadoporlospasajeros.,COMPORTAMIENTOINDEBIDO
CIR,"018
013","1
3",5F,3,Grave076.-F),"CIRCULARCONUNVEHÍCULOUTILIZANDOELCONDUCTORDISPOSITIVOSVISUALESINCOMPATIBLESCONLAATENCIÓNPERMANENTEALACONDUCCIÓN.(DEBERÁESPECIFICARSEEL
DISPOSITIVOUTILIZADO)","200.0
100.0",Conductor,"NOTA:Seconsideraincompatibleconlaobligatoriaatenciónpermanentealaconducción,elusoporelconductorconelvehículoenmovimientodedispositivostalescomopantallasconaccesoainternet,monitoresdetelevisióny
reproductoresdevideooDVD.",USODEDISPOSITIVOS
CIR,"018
013","2
3",5A,3,Grave076.-F),"CONDUCIRUTILIZANDOCASCOSOAURICULARESCONECTADOSAAPARATOSRECEPTORESOREPRODUCTORESDE
SONIDO","200.0
100.0",Conductor,NOTA:Deberáespecificarseeldispositivoutilizado,USODEDISPOSITIVOS
CIR,"018
013","2
3",5B,3,Grave076.-G),"CONDUCIRUTILIZANDOMANUALMENTEELTELÉFONOMÓVILOCUALQUIEROTRODISPOSITIVOINCOMPATIBLECONLAOBLIGATORIAATENCIÓNPERMANENTEALACONDUCCIÓN.(DEBERÁESPECIFICARSEEL
DISPOSITIVOUTILIZADO)","200.0
100.0",Conductor,,USODEDISPOSITIVOS
CIR,"018
013","3
6",5B,0,Grave076.-M),EMITIROHACERSEÑALESDEFORMAENCAMINADAAELUDIRLAVIGILANCIADELOSAGENTESDETRÁFICO.,"200.0
100.0",Conductor,NOTA:Deberáespecificarselaconductaconcretamentedetectada.,CONDUCC.NEGLIGENTE
CIR,"019
013","1
2",5A,0,Grave076.-O),"CIRCULARCONUNVEHÍCULOCUYASUPERFICIEACRISTALADANOPERMITEASUCONDUCTORLAVISIBILIDADDIÁFANASOBRETODALAVÍAPORLACOLOCACIÓNDELAMINAS,ADHESIVOS,CORTINILLASUOTROSELEMENTOSNO
AUTORIZADOS","200.0
100.0",Titular,"NOTA:Quedanprohibidalainstalacióndeláminasadhesivasocortinillasenelcristalfrontaloenlasventanillaslateralesdelanteras,asícomocualquierotrasuperficieacristaladaincluidaenelarcode180ºdevisióndirectahaciadelantedelconductor(OrdenITC/1992/2010,de14dejulio).",CONDICIONESTÉCNICAS
CIR,"019
013","1
2",5B,0,Grave076.-O),"CIRCULARCONUNVEHÍCULOPROVISTODELÁMINASADHESIVASOCORTINILLASCONTRAELSOLENLASVENTANILLASPOSTERIORES,SINLLEVARDOSESPEJOSRETROVISORESQUECUMPLANLASESPECIFICACIONESTÉCNICASNECESARIAS.","200.0
100.0",Titular,"NOTA:Lasláminasdematerialplásticoadhesivaspuedenhomologarsejuntoconelvidrioalquevandestinadas,enaplicacióndelaDirectiva92/22/CEEdelConsejo,de31demarzo,relativaaloscristalesdeseguridadyalosmaterialesparaacristalamientodevehículosamotorysusremolques,odelReglamentodelaCEPE/ONU
43R00.",CONDICIONESTÉCNICAS
CIR,"020
014","1
1",5F,4,"Muygrave077.-
C)","CIRCULARCONUNATASADEALCOHOLENSANGRESUPERIORA0,50GRAMOSPOR1000C.C.,QUEESLAREGLAMENTARIAMENTEESTABLECIDA(PARACONDUCTORESENGENERAL,PRUEBASSIEMPRECONETILÓMETROS
HOMOLOGADOS)","500.0
250.0",Conductor,NOTA:Causadeposibleinmovilizaciónydepósitodelvehículo(arts.104y105LSV),ALCOHOL
CIR,"020
014","1
1",5I,6,"Muygrave077.-
C)","CIRCULARCONUNATASADEALCOHOLENAIREESPIRADOSUPERIORA0,25MILIGRAMOSPORLITRO,QUEESLAREGLAMENTARIAMENTEESTABLECIDA,SOBREPASANDOLOS0,50MG/L(TRASLAENTRADAENVIGORDELALEY6/2014,DE7DEABRIL,HAYNUEVASCUANTÍASSANCIONADORASAPLICABLESSÓLOASUPUESTOSDEHECHOCOMETIDOSAPARTIRDELAENTRADAENVIGORDELACITADALEY.ENTRAENVIGOR
EL9/5/14)","1000.0
500.0",Conductor,"NOTA:Paraconductoresengeneral,pruebassiempreconetilómetroshomologados.Lareferenciasancionadoraesladelatasamenorconetilómetrohomologado.Causaposibleinmovilizaciónydepósitodelvehículo(art.104y105LSV)",ALCOHOL
CIR,"020
014","1
1",5J,6,"Muygrave077.-
C)","CIRCULARCONUNATASADEALCOHOLENSANGRESUPERIORA0,50GRAMOSPORMILC.C,QUEESLAREGLAMENTARIAMENTEESTABLECIDA,SOBREPASANDO1,00GR/L(TRASLAENTRADAENVIGORDELALEY6/2014,DE7DEABRIL,HAYNUEVASCUANTÍASSANCIONADORASAPLICABLESSÓLOASUPUESTOSDEHECHOCOMETIDOSAPARTIRDELAENTRADAENVIGORDELACITADALEY.ENTRAENVIGOREL9/5/14.PARACONDUCTORESEN
GENERAL.)","1000.0
500.0",Conductor,NOTA:Paraconductoresengeneral.Causadeposibleinmovilizaciónydepósitodelvehículo(arts.104y105LSV).,ALCOHOL
CIR,"020
014","1
1",5K,6,"Muygrave077.-
C)","CIRCULARCONUNATASADEALCOHOLENAIREESPIRADOSUPERIORA0,15MILIGRAMOSPORLITRO,QUEESLAREGLAMENTARIAMENTEESTABLECIDA,SOBREPASANDOLOS0,30MG/L(PARACONDUCTORESPROFESIONALES,DESERVICIODEURGENCIA,MERCANCÍASPELIGROSASOTRANSPORTESESPECIALES,NOVELESYPRUEBASSIEMPRECONETILÓMETROS
HOMOLOGADO.)","1000.0
500.0",Conductor,"NOTA:TraslaentradaenvigordelaLey6/2014,de7deabril,haynuevascuantíassancionadorasaplicablessóloasupuestosdehechocometidosapartirdelaentradaenvigordelacitadaLey.Lareferenciasancionadoraesladelatasamenorconetilómetrohomologado.Causaposibleinmovilizaciónydepósitodelvehículo(art84y85LSV)",ALCOHOL
CIR,"020
014","1
1",5M,4,"Muygrave077.-
C)","CIRCULARCONUNATASADEALCOHOLENAIREESPIRADOSUPERIORA0,25MILIGRAMOSPORLITRO,QUEESLAREGLAMENTARIAMENTEESTABLECIDA.(NUEVACODIF.ATENERENCUENTA,TRASLAMODIFICACIÓNDELACUANTÍADESANCIÓNENESTOSSUPUESTOS,APROBADAPORLEY6/2014,DE7DEABRIL,REFERIDAALAEXISTENCIADESANCIÓNFIRMEADOPTADAENAÑOINMEDIATAMENTEANTERIORALAFECHADELOSHECHOS
DETECTADOS)","1000.0
500.0",Conductor,"NOTA:Paraconductoresengeneral,pruebassiempreconetilómetroshomologados.Lareferenciasancionadoraesladelatasamenorconetilómetrohomologado.Causaposibleinmovilizaciónydepósitodelvehículo(art104y105LSV)",ALCOHOL
CIR,"020
014","1
1",5O,4,"Muygrave077.-
C)","CIRCULARCONUNATASADEALCOHOLENSANGRESUPERIORA0,30GRAMOSPOR1000C.C.,QUEESLAREGLAMENTARIAMENTEESTABLECIDA(PARACONDUCTORESPROFESIONALES,NOVELES,DESERVICIODEURGENCIA,MERCANCÍASPELIGROSASOTRANSPORTESESPECIALES.CAUSADEPOSIBLEINMOVILIZACIÓNYDEPÓSITODELVEHÍCULO(ARTS.104Y
105LSV))","1000.0
500.0",Conductor,"NOTA:Nuevacodificaciónatenerencuenta,unaveztenidaenconsideraciónlamodificacióndellímitesancionadoraplicableaestossupuestostraslaaprobacióndelaLey6/2014,de7deabril,referidaalaconstanciadelaexistenciadeunasanciónfirmeenelañoinmediatamenteanterioralafechadeloshechosdetectados.",ALCOHOL
CIR,"026
014","1
5",5B,0,Leve,"NEGARSEELPERSONALSANITARIODEUNCENTROMÉDICOAREMITIRALLABORATORIOLASPRUEBASOBTENIDASPARALADETERMINACIÓNDELGRADODEALCOHOLEMIADELAPERSONAQUEDESEA
SOMETERSEATALPRUEBA","80.0
40.0",Facultativo,,ALCOHOL
CIR,"026
014","1
5",5D,0,Leve,"OMITIRELPERSONALSANITARIOENCARGADODECOMUNICARALAAUTORIDADCORRESPONDIENTEELRESULTADODELASPRUEBASREALIZADASLOSDATOSEXIGIDOS
                                                                                                                 REGLAMENTARIAMENTE                                                                                                                            ","80.0
40.0",Facultativo,,ALCOHOL
CIR,"029
015","1
-",5B,0,Grave076.-C),"NOCIRCULARPORLAVÍAENUNCAMBIODERASANTEOCURVADEREDUCIDAVISIBILIDADDEJANDOCOMPLETAMENTELIBRELAMITADDELACALZADAQUECORRESPONDAALOSQUEPUEDANCIRCULAREN
SENTIDOCONTRARIO","200.0
100.0",Conductor,,SENTIDOCIRCULACIÓN
CIR,"029
015","2
-",5A,6,"Muygrave077.-
F)","CIRCULARPORLAIZQUIERDAENUNAVÍADEDOBLESENTIDODELACIRCULACIÓNENSENTIDOCONTRARIOALESTIPULADO(DEBERÁESPECIFICARSESICIRCULABAALGÚNVEHÍCULOPORSUSENTIDODELAVÍAYENSENTIDOCONTRARIOALPRESUNTOINFRACTOR,SIALGÚNVEHÍCULOTUVOQUEREALIZARMANIOBRASEVASIVASYSIHUBOPELIGROPARAALGÚNOTRO
                                                                                                                     USUARIO DE LA VÍA.)                                                                                                                                ","500.0
250.0",Conductor,"NOTA:Noseránecesarioidentificarnialvehículonialusuario,perocasodedisponerdealgúndatoseharáconstar(matrícula,marcaymodelo).",SENTIDOCONTRARIO
CIR,"030
016","1-B
1",5D,6,"Muygrave077.-
F)","CIRCULARPORELCARRILSITUADOMÁSALAIZQUIERDAENSENTIDOCONTRARIOALESTIPULADO,ENUNACALZADADEDOBLESENTIDODECIRCULACIÓNYTRESCARRILESSEPARADOS
PORMARCASVIALES.","500.0
250.0",Conductor,,SENTIDOCONTRARIO
CIR,"030
017","1
1",5A,0,Grave076.-C),"CIRCULARPORELARCÉN,NOEXISTIENDORAZONESDEEMERGENCIA,CONUNVEHÍCULOAUTOMÓVIL","200.0
100.0",Conductor,,ARCÉN
CIR,"031
016",-1,5B,0,Grave076.-C),"CIRCULARFUERADEPOBLADOPORUNCARRILDISTINTODELSITUADOMÁSALADERECHA,ENCALZADACONMÁSDEUNCARRILPARAELMISMOSENTIDODEMARCHA,ENTORPECIENDOLACIRCULACIÓNDEOTRO
VEHÍCULOQUELESIGUE.","200.0
100.0",Conductor,NOTA:Estoshechosnosedenunciaráncomoposibleinfracciónsinoexisteentorpecimientoparaotrovehículoquelesiga.,UTILIZACIÓNCARRILES
CIR,"031
016","1
1",5A,0,Grave076.-C),"CIRCULARCONUNAUTOMÓVILOVEHÍCULOESPECIALCONMMASUPERIORA3.500KG,FUERADEPOBLADOYSINRAZONESDEEMERGENCIA,PORELARCÉNDEUNAVÍACONMÁSDEUNCARRILPARAEL
                                                                                                             MISMO SENTIDO DE MARCHA.                                                                                                                        ","200.0
100.0",Conductor,,ARCÉN
CIR,"032
016",-1,5B,0,Grave076.-C),"CIRCULARFUERADEPOBLADOCONUNVEHÍCULOESPECIALOCONJUNTODEVEHÍCULOSDEMÁSDESIETEMETROSDELONGITUD,PORUNCARRILDISTINTODELSITUADOMÁSALADERECHA,ENTORPECIENDOLAMARCHA
DEOTROQUELESIGUE.","200.0
100.0",Conductor,,UTILIZACIÓNCARRILES
CIR,"033
016",-1,5B,0,Grave076.-C),"CIRCULARCONUNAUTOMÓVILOVEHÍCULOESPECIALPORCALZADADEPOBLADOCONALMENOSDOSCARRILESPARAELMISMOSENTIDO,DELIMITADOSPORMARCASLONGITUDINALES,CAMBIANDODECARRILSIN
                                                                                                                   MOTIVO JUSTIFICADO.                                                                                                                              ","200.0
100.0",Conductor,NOTA:Elhechodecircularenzig-zagdebetipificarseporelartículo3delReglamentodeCirculación.,UTILIZACIÓNCARRILES
